N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
1661;77;67.6;4.5;10.7;39.592;58.57;20.716;6;30.64;10.4;48.3;0.215;60.4;A ;4.27;7.292;0.41;10.79;4;Extra;59.49;45.91;77.17;Redondo;65.59;66.02;;21;In_natura
1662;77;63.2;5.4;10.0;37.768;59.76;19.250;6;30.46;12.4;43.8;0.283;70.9;A ;1.74;6.182;0.34;9.78;2;Extra;58.34;44.76;76.72;Redondo;61.38;63.48;;21;In_natura
1663;77;62.4;5.4;10.6;37.345;59.85;18.862;6;30.23;12.3;111.1;0.111;71.2;A ;4.73;6.193;0.37;9.92;2;Extra;58.65;44.67;76.16;Redondo;61.48;63.57;;21;In_natura
1664;77;60.7;5.9;10.4;37.552;61.86;17.426;6;28.71;14.3;;;75.8;AA;3.13;5.722;0.33;9.43;2;Extra;60.19;43.92;72.97;Padrão;61.15;63.56;;21;In_natura
1665;77;59.5;4.8;10.6;34.067;57.26;18.928;6;31.81;11.5;;;67.1;A ;4.38;6.505;0.42;10.93;1;Extra;55.56;44.02;79.23;Redondo;56.68;60.35;;21;In_natura
1666;77;67.5;5.3;10.5;40.551;60.08;20.026;7;29.67;12.8;48.7;0.263;68.3;A ;4.78;6.923;0.38;10.26;4;Extra;59.20;46.51;78.56;Redondo;66.85;66.69;;21;In_natura
1667;77;61.7;4.9;;;;;7;;11.5;;;67.1;A ;2.08;6.859;0.38;11.12;1;Extra;59.21;43.76;73.91;Padrão;59.75;62.64;;21;In_natura
1668;77;71.1;5.9;10.1;43.851;61.68;19.958;7;28.07;13.0;;;72.1;AA;4.14;7.291;0.38;10.25;3;Jumbo;62.20;46.24;74.34;Padrão;69.48;68.47;;21;In_natura
1669;77;68.0;4.5;;;;;6;;12.5;49.3;0.254;60.2;A ;3.80;7.210;0.37;10.60;1;;62.33;44.36;71.17;Pontiagudo;64.50;65.70;;21;In_natura
1670;77;64.6;4.6;10.6;37.732;58.41;19.669;6;30.45;12.3;48.3;0.255;62.9;A ;3.80;7.199;0.41;11.14;3;Extra;59.27;45.02;75.96;Padrão;63.03;64.54;;21;In_natura
1671;77;60.5;4.6;10.6;34.026;56.24;20.113;6;33.24;11.1;;;64.8;A ;3.75;6.361;0.39;10.51;3;Extra;59.23;43.38;73.24;Padrão;58.81;62.09;;21;In_natura
1672;77;51.7;4.4;10.1;30.762;59.50;15.826;7;30.61;13.6;45.3;0.300;67.0;A ;2.61;5.112;0.37;9.89;2;Grande;57.13;43.16;75.55;Padrão;56.19;60.29;;21;In_natura
1673;77;65.6;4.8;10.1;40.764;62.14;18.157;6;27.68;13.3;46.3;0.287;64.4;A ;4.30;6.679;0.41;10.18;4;Extra;58.67;45.86;78.17;Redondo;64.55;65.33;;21;In_natura
1674;77;58.8;3.5;;;;;5;;8.0;38.3;0.209;53.5;B ;3.73;6.682;0.45;11.36;4;Extra;57.85;42.92;74.19;Padrão;56.31;60.45;Sujo;21;In_natura
1675;77;65.6;4.8;10.4;42.431;64.68;16.863;6;25.71;13.1;45.3;0.289;64.4;A ;3.23;6.306;0.38;9.61;2;Extra;59.24;46.54;78.56;Redondo;66.97;66.76;Sujo;21;In_natura
1676;77;65.6;4.8;10.5;40.963;62.44;18.079;6;27.56;12.4;48.0;0.258;64.4;A ;4.33;6.558;0.38;10.00;3;Extra;59.21;44.49;75.14;Padrão;61.60;63.71;;21;In_natura
1677;77;63.2;7.1;10.2;37.921;60.00;18.701;7;29.59;15.0;47.3;0.317;83.4;AA;3.54;6.578;0.37;10.41;2;Extra;59.93;44.95;75.00;Padrão;63.55;64.91;;21;In_natura
1678;77;65.7;;10.7;;;;;;;;;;;2.89;7.218;0.39;10.99;4;Extra;62.66;44.58;71.15;Pontiagudo;65.43;66.26;;21;In_natura
1679;77;64.0;4.3;10.6;;;;6;;13.1;45.0;0.291;60.0;A ;3.22;5.670;0.36;8.86;3;Extra;58.58;45.18;77.13;Redondo;62.70;64.27;;21;In_natura
1680;77;66.8;7.6;10.0;42.748;63.99;16.789;5;25.13;13.8;5.1;0.271;85.5;AA;3.68;7.263;0.41;10.87;3;Extra;59.85;45.21;75.54;Padrão;64.14;65.24;;21;In_natura
1681;77;60.7;;10.5;35.430;58.37;19.185;;31.61;;;;;;4.59;6.085;0.38;10.02;3;Extra;58.76;43.80;74.54;Padrão;59.39;62.38;;21;In_natura
1682;77;62.1;;10.5;35.347;56.92;20.083;;32.34;;;;;;3.37;6.670;0.37;10.74;3;Extra;58.42;44.45;76.09;Redondo;60.68;63.09;;21;In_natura
1683;77;61.3;;9.0;;;;;;;;;;;4.49;6.964;0.42;11.36;1;Extra;57.77;44.23;76.56;Redondo;59.46;62.29;;21;In_natura
1684;77;70.1;;10.0;45.022;64.23;17.929;;25.58;;;;;;3.80;7.149;0.38;10.20;3;Jumbo;60.26;46.39;76.98;Redondo;67.72;67.30;;21;In_natura
1685;77;64.2;4.9;10.1;38.978;60.71;18.868;6;29.39;13.5;47.3;0.285;66.0;A ;3.92;6.354;0.40;9.90;2;Extra;59.30;44.35;74.79;Padrão;61.34;63.57;;21;In_natura
1686;77;62.7;6.8;;36.534;58.27;19.730;6;31.47;13.6;;;81.6;AA;4.36;6.436;0.44;10.26;2;Extra;57.82;44.73;77.36;Redondo;60.76;63.05;;21;In_natura
1687;77;65.0;5.1;10.6;38.679;59.51;19.753;6;30.39;12.3;49.3;0.249;67.5;A ;4.47;6.568;0.41;10.10;3;Extra;59.98;44.92;74.89;Padrão;63.52;64.90;;21;In_natura
1688;77;59.6;6.0;10.4;34.181;57.35;19.035;6;31.94;13.3;;;77.0;AA;4.90;6.384;0.38;10.71;2;Extra;56.18;44.04;78.39;Redondo;57.36;60.85;;21;In_natura
1689;77;59.7;5.1;9.6;36.663;61.41;16.974;6;28.43;16.5;41.3;0.400;69.7;A ;3.57;6.063;0.37;10.16;2;Extra;56.59;45.31;80.07;Redondo;60.89;62.96;;21;In_natura
1690;77;71.2;5.6;10.7;44.597;62.64;19.640;6;27.58;12.9;48.3;0.267;69.6;A ;3.59;6.963;0.41;9.78;3;Jumbo;63.49;46.05;72.53;Padrão;70.39;69.08;;21;In_natura
1691;77;56.1;5.9;10.4;34.127;60.83;16.213;7;28.90;12.4;;;77.5;AA;1.51;5.760;0.39;10.27;3;Grande;55.00;43.41;78.93;Redondo;54.68;59.07;;21;In_natura
1692;77;59.4;5.9;10.7;35.554;59.86;17.286;6;29.10;11.6;;;76.3;AA;3.81;6.560;0.40;11.04;1;Extra;56.03;44.28;79.03;Redondo;57.79;61.07;;21;In_natura
1693;77;71.7;5.5;10.7;45.618;63.62;18.276;6;25.49;14.0;45.7;0.306;68.5;A ;2.69;7.806;0.42;10.89;4;Jumbo;62.95;45.96;73.01;Padrão;69.54;68.57;;21;In_natura
1694;77;63.1;7.5;10.1;35.721;56.61;20.940;1;33.19;18.1;46.3;0.391;85.9;AA;3.99;6.439;0.37;10.20;2;Extra;58.81;45.09;76.67;Redondo;62.72;64.31;;21;In_natura
1695;77;60.2;4.6;10.5;34.929;58.02;18.673;6;31.02;13.8;45.0;0.307;64.9;A ;4.20;6.598;0.39;10.96;3;Extra;60.73;42.65;70.23;Pontiagudo;58.43;62.04;;21;In_natura
1696;77;59.4;4.3;10.6;33.476;56.36;19.970;6;33.62;15.6;46.3;0.337;62.3;A ;2.89;5.954;0.37;10.02;3;Extra;55.78;44.71;80.15;Redondo;58.56;61.49;;21;In_natura
1697;77;59.4;3.3;10.7;34.956;58.85;17.809;6;29.98;11.4;42.3;0.270;50.5;B ;4.47;6.635;0.40;11.17;3;Extra;56.67;43.59;76.92;Redondo;56.77;60.57;;21;In_natura
1698;77;68.4;6.4;10.6;40.213;58.79;20.879;6;30.52;13.0;71.8;0.181;77.0;AA;3.71;7.308;0.41;10.68;3;Jumbo;60.36;46.00;76.21;Redondo;66.79;66.79;;21;In_natura
1699;77;64.4;6.3;10.8;38.638;60.00;18.945;6;29.42;12.6;10.9;0.116;77.5;AA;3.44;6.817;0.41;10.59;2;Extra;59.98;44.66;74.46;Padrão;62.84;64.52;;21;In_natura
1700;77;62.2;6.4;10.7;36.643;58.91;19.498;6;31.35;12.6;20.4;0.618;79.0;AA;3.92;6.059;0.37;9.74;2;Extra;59.33;43.75;73.74;Padrão;59.84;62.71;;21;In_natura
1701;77;66.7;5.9;10.7;41.482;62.19;18.639;6;27.94;11.3;;;73.7;AA;4.23;6.579;0.39;9.86;3;Extra;60.42;45.22;74.84;Padrão;64.78;65.66;Sujo;21;In_natura
1702;77;68.0;3.4;10.4;41.820;61.50;19.691;6;28.96;14.4;45.7;0.315;46.2;B ;3.73;6.489;0.39;9.54;4;;62.84;45.96;73.14;Padrão;69.42;68.50;;21;In_natura
1703;77;65.6;;;;;;;;;;;;;4.62;6.508;0.39;9.92;2;Extra;62.13;44.73;71.99;Pontiagudo;65.28;66.12;;21;In_natura
1704;77;73.0;3.6;10.7;48.300;66.16;17.740;6;24.30;11.3;40.0;0.283;46.0;B ;3.59;6.960;0.38;9.53;3;Jumbo;64.75;45.97;71.00;Pontiagudo;71.56;69.82;;21;In_natura
1705;77;60.6;4.0;10.7;37.262;61.49;17.288;6;28.53;11.6;50.0;0.232;58.4;B ;3.83;6.050;0.37;9.98;3;Extra;57.16;43.92;76.84;Redondo;58.07;61.40;;21;In_natura
1706;77;66.7;3.1;10.5;38.950;58.40;21.139;6;31.69;11.4;53.3;0.214;42.5;B ;3.48;6.611;0.39;9.91;2;Extra;58.63;46.07;78.58;Redondo;65.05;65.61;;21;In_natura
1707;77;67.7;2.5;10.9;40.307;59.54;20.514;6;30.30;11.5;51.3;0.224;30.4;C ;4.43;6.879;0.40;10.16;3;Extra;59.45;45.70;76.87;Redondo;64.99;65.68;;21;In_natura
1708;77;66.9;3.4;10.6;41.458;61.97;18.943;6;28.32;12.1;39.0;0.310;47.0;B ;4.85;6.499;0.38;9.71;3;Extra;57.55;46.18;80.24;Redondo;64.14;64.95;;21;In_natura
1709;77;66.4;5.4;10.4;39.586;59.62;19.993;6;30.11;13.4;47.3;0.283;69.6;A ;4.00;6.821;0.41;10.27;2;Extra;57.90;45.55;78.67;Redondo;62.91;64.30;;21;In_natura
1710;77;66.6;6.0;10.5;39.572;59.42;20.223;6;30.36;13.6;;;74.5;AA;4.65;6.805;0.40;10.22;2;Extra;61.57;45.28;73.54;Padrão;66.17;66.57;;21;In_natura
1711;77;61.4;3.4;10.5;;;;6;;9.6;45.3;0.212;50.5;B ;1.44;6.493;0.38;10.57;3;Extra;58.80;44.14;75.07;Padrão;60.29;62.91;;21;In_natura
1712;77;60.3;4.0;10.7;36.516;60.56;18.247;7;30.26;12.5;46.7;0.268;58.6;B ;3.78;5.537;0.37;9.18;2;Extra;57.52;44.16;76.77;Redondo;59.03;62.01;;21;In_natura
1713;77;57.0;5.6;10.5;33.881;59.44;17.280;6;30.32;12.0;84.3;0.142;74.9;AA;4.38;5.839;0.38;10.24;1;Grande;56.07;42.87;76.46;Redondo;54.46;59.11;;21;In_natura
1714;77;53.8;3.9;10.4;30.949;57.53;17.243;6;32.05;11.5;47.0;0.245;61.0;A ;5.11;5.608;0.40;10.42;3;Grande;54.26;42.37;78.09;Redondo;51.57;57.08;;21;In_natura
1715;77;61.9;3.1;10.5;38.669;62.47;17.449;6;28.19;11.4;46.7;0.244;45.9;B ;2.73;5.782;0.36;9.34;3;Extra;58.47;44.44;76.00;Redondo;60.71;63.11;;21;In_natura
1716;77;59.1;4.0;10.7;35.435;59.96;17.910;7;30.30;11.1;49.0;0.227;59.2;B ;3.93;5.755;0.38;9.74;2;Extra;58.60;43.25;73.81;Padrão;57.86;61.46;;21;In_natura
1717;77;58.1;4.3;10.4;36.953;63.60;15.910;6;27.38;14.5;43.7;0.332;62.9;A ;4.79;5.237;0.35;9.01;2;Extra;59.19;43.30;73.15;Padrão;58.57;61.95;;21;In_natura
1718;77;68.9;4.0;10.2;43.617;63.30;18.885;6;27.41;15.8;47.0;0.336;53.9;B ;3.87;6.398;0.40;9.29;2;Jumbo;61.73;45.12;73.09;Padrão;65.91;66.44;;21;In_natura
1719;77;67.0;5.6;10.4;40.234;60.05;20.510;6;30.61;11.1;;;71.1;A ;2.56;6.256;0.39;9.34;4;Extra;60.18;45.67;75.89;Padrão;65.71;66.16;;21;In_natura
1720;77;60.2;6.5;10.2;36.867;61.24;17.888;6;29.71;13.4;33.5;0.400;80.3;AA;3.81;5.445;0.37;9.04;3;Extra;58.34;43.96;75.35;Padrão;59.37;62.31;;21;In_natura
1721;77;65.6;4.3;10.3;38.644;58.91;20.141;6;30.70;15.1;46.3;0.326;59.2;B ;4.80;6.815;0.40;10.39;2;Extra;60.50;44.13;72.94;Padrão;62.01;64.09;Trincado;21;Descarte
1722;77;59.1;2.9;10.7;38.934;65.88;15.919;6;26.94;11.0;46.0;0.239;44.9;B ;2.15;4.247;0.28;7.19;1;Extra;59.71;44.27;74.14;Padrão;61.56;63.75;;21;In_natura
1723;77;63.1;6.3;10.4;39.995;63.38;17.441;7;27.64;12.8;;;78.0;AA;4.70;5.664;0.36;8.98;4;Extra;57.68;45.34;78.61;Redondo;62.14;63.83;;21;In_natura
1724;77;58.4;5.6;10.5;35.510;60.80;16.647;6;28.51;13.0;47.0;0.277;74.4;AA;3.41;6.243;0.41;10.69;4;Extra;58.24;43.77;75.15;Padrão;58.79;61.96;;21;In_natura
1725;77;63.9;6.6;10.2;36.120;56.53;21.005;7;32.87;14.0;48.0;0.292;79.8;AA;4.55;6.775;0.42;10.60;2;Extra;61.31;43.94;71.67;Pontiagudo;62.34;64.37;;21;In_natura
1726;77;60.1;3.1;10.5;35.073;58.36;17.722;6;29.49;11.8;40.0;0.295;47.2;B ;5.20;7.305;0.41;12.15;3;Extra;57.36;43.35;75.58;Padrão;56.88;60.72;;21;In_natura
1727;77;63.1;6.9;10.8;36.700;58.16;20.079;7;31.82;11.6;19.3;0.601;82.1;AA;4.93;6.321;0.41;10.02;1;Extra;58.17;44.78;76.98;Redondo;61.25;63.38;;21;In_natura
1728;77;59.9;6.3;10.4;36.236;60.49;17.846;7;29.79;13.8;45.3;0.305;79.0;AA;3.69;5.818;0.38;9.71;2;Extra;58.98;43.43;73.64;Padrão;58.69;61.99;;21;In_natura
1729;77;59.5;5.1;10.5;37.630;63.24;16.042;6;26.96;12.6;47.0;0.268;69.8;A ;3.90;5.828;0.39;9.79;2;Extra;55.10;45.07;81.80;Redondo;58.71;61.48;Sujo;21;In_natura
1730;77;50.2;4.1;10.7;29.290;58.35;16.352;7;32.57;10.4;47.7;0.218;64.9;A ;2.68;4.558;0.35;9.08;1;Grande;53.61;41.92;78.19;Redondo;49.95;55.98;;21;In_natura
1731;77;67.8;6.4;10.9;42.345;62.46;18.663;7;27.53;12.5;47.3;0.264;77.2;AA;3.23;6.792;0.38;10.02;2;Extra;58.26;47.04;80.74;Redondo;67.17;66.75;;21;In_natura
1732;77;63.8;3.3;10.6;38.694;60.65;17.926;7;28.10;11.6;54.0;0.215;47.6;B ;4.21;7.180;0.42;11.25;1;Extra;60.92;43.34;71.14;Pontiagudo;60.38;63.20;;21;In_natura
1733;77;61.7;4.3;10.2;37.156;60.22;18.701;6;30.31;16.4;44.0;0.373;61.1;A ;2.55;5.843;0.37;9.47;3;Extra;58.79;44.63;75.91;Padrão;61.52;63.62;;21;In_natura
1734;77;62.2;6.5;10.5;36.713;59.02;19.103;6;30.71;13.3;76.2;0.175;79.7;AA;3.76;6.384;0.37;10.26;3;Extra;56.89;44.52;78.26;Redondo;59.26;62.06;;21;In_natura
1735;77;71.7;7.4;10.4;43.881;61.20;21.701;6;30.27;13.3;;;82.9;AA;2.57;6.118;0.35;8.53;3;Jumbo;62.12;46.92;75.53;Padrão;71.28;69.45;;21;In_natura
1736;77;64.3;6.6;10.4;36.177;56.26;21.742;5;33.81;14.4;;;79.7;AA;3.08;6.381;0.36;9.92;4;Extra;56.54;46.30;81.89;Redondo;63.31;64.34;;21;In_natura
1737;77;62.9;7.5;10.5;36.310;57.73;19.657;6;31.25;12.4;23.4;0.530;85.9;AA;4.41;6.933;0.41;11.02;3;Extra;60.37;43.98;72.85;Padrão;61.48;63.78;;21;In_natura
1738;77;;;;;;;;;;;;;;;;;;;;52.28;43.59;83.38;Redondo;52.37;57.24;;21;In_natura
1739;77;60.5;4.4;10.7;35.351;58.43;18.233;6;30.14;13.6;45.3;0.300;62.8;A ;4.75;6.916;0.40;11.43;2;Extra;55.39;44.69;80.68;Redondo;58.11;61.17;;21;In_natura
1740;77;64.4;6.6;10.5;40.918;63.54;16.866;7;26.19;13.1;47.0;0.279;79.7;AA;3.50;6.616;0.39;10.27;1;Extra;57.94;45.19;77.99;Redondo;62.04;63.81;;21;In_natura
1741;77;57.0;6.3;10.6;33.441;58.67;17.943;7;31.48;13.5;48.3;0.280;80.0;AA;4.15;5.616;0.39;9.85;2;Grande;56.17;42.88;76.34;Redondo;54.58;59.19;;21;In_natura
1742;77;68.8;6.1;10.8;43.783;63.64;18.209;6;26.47;12.1;93.0;0.130;74.5;AA;3.42;6.808;0.38;9.90;2;Jumbo;62.85;44.95;71.52;Pontiagudo;66.64;66.95;;21;In_natura
1743;77;59.6;6.3;10.7;36.341;60.97;17.070;6;28.64;12.6;46.7;0.270;79.1;AA;4.58;6.189;0.39;10.38;1;Extra;56.83;44.34;78.02;Redondo;58.76;61.76;;21;In_natura
1744;77;60.6;3.0;10.6;36.813;60.75;16.997;6;28.05;11.5;50.3;0.229;45.3;B ;2.71;6.790;0.39;11.20;3;Extra;58.26;43.85;75.27;Padrão;59.01;62.10;;21;In_natura
1745;77;67.1;5.4;;;;;6;;13.8;48.3;0.286;69.4;A ;2.57;7.409;0.37;11.04;2;Extra;59.88;45.40;75.82;Padrão;64.67;65.54;;21;In_natura
1746;77;66.7;7.4;10.6;40.714;61.04;19.260;6;28.88;12.0;;;84.2;AA;3.98;6.726;0.38;10.08;3;Extra;60.25;45.59;75.67;Padrão;65.57;66.10;Sujo;21;In_natura
1747;77;53.0;3.5;10.6;32.297;60.94;15.267;5;28.81;11.5;45.3;0.254;57.0;B ;4.55;5.436;0.37;10.26;2;Grande;54.27;42.33;78.00;Redondo;51.49;57.03;;21;In_natura
1748;77;57.5;7.0;10.5;32.093;55.81;19.516;6;33.94;11.8;;;84.4;AA;4.68;5.891;0.38;10.25;1;Grande;58.77;42.42;72.18;Padrão;55.98;60.37;;21;In_natura
1749;77;65.4;6.3;10.6;41.544;63.52;18.219;6;27.86;13.4;47.0;0.285;77.2;AA;5.05;5.637;0.39;8.62;2;Extra;60.86;44.41;72.97;Padrão;63.11;64.76;;21;In_natura
1750;77;62.8;6.3;10.2;36.643;58.35;20.054;6;31.93;13.5;49.3;0.274;78.1;AA;3.54;6.103;0.39;9.72;2;Extra;58.50;44.65;76.32;Redondo;61.27;63.44;Sujo;21;In_natura
1751;77;63.2;6.1;10.6;38.004;60.13;19.215;7;30.40;13.6;47.3;0.288;76.5;AA;4.70;5.981;0.37;9.46;2;Extra;60.22;44.27;73.51;Padrão;62.08;64.11;;21;In_natura
1752;77;61.7;3.1;10.5;36.519;59.19;19.225;7;31.16;11.8;50.3;0.235;46.0;B ;1.69;5.956;0.36;9.65;4;Extra;60.72;40.21;66.22;Pontiagudo;52.36;58.39;Trincado;21;Descarte
1753;77;59.2;5.5;10.6;36.673;61.95;16.575;6;28.00;12.3;110.5;0.111;73.3;AA;1.65;5.952;0.39;10.05;2;Extra;57.42;44.03;76.68;Redondo;58.60;61.75;;21;In_natura
1754;77;56.4;4.1;10.7;34.357;60.92;15.820;6;28.05;11.6;44.3;0.262;61.7;A ;5.19;6.223;0.39;11.03;1;Grande;55.89;42.98;76.90;Redondo;54.55;59.13;;21;In_natura
1755;77;65.0;5.4;10.8;42.404;65.24;16.659;6;25.63;12.5;;;70.2;A ;3.84;5.937;0.37;9.13;2;Extra;61.39;44.39;72.31;Padrão;63.60;65.10;;21;In_natura
1756;77;63.2;3.6;10.6;38.649;61.15;18.972;6;30.02;10.8;35.0;0.309;52.1;B ;2.38;5.579;0.35;8.83;2;Extra;58.65;46.11;78.62;Redondo;65.18;65.68;;21;In_natura
1757;77;64.0;6.6;10.6;37.760;59.00;19.851;7;31.02;12.1;27.8;0.435;79.8;AA;3.28;6.389;0.39;9.98;3;Extra;61.65;44.16;71.63;Pontiagudo;63.26;64.93;;21;In_natura
1758;77;60.2;5.8;10.1;36.304;60.31;18.333;7;30.45;12.8;;;75.3;AA;3.16;5.563;0.34;9.24;3;Extra;59.06;44.05;74.59;Padrão;60.33;62.96;;21;In_natura
1759;77;58.0;5.0;9.8;33.504;57.77;17.939;6;30.93;14.8;45.0;0.329;69.6;A ;4.37;6.557;0.38;11.31;3;Extra;58.85;43.04;73.14;Padrão;57.59;61.33;;21;In_natura
1760;77;62.8;4.9;10.4;40.342;64.24;16.450;7;26.19;10.8;43.0;0.251;66.6;A ;2.61;6.008;0.36;9.57;2;Extra;60.04;44.54;74.18;Padrão;62.59;64.38;;21;In_natura
1761;77;59.3;2.6;10.4;35.937;60.60;16.883;6;28.47;12.8;41.0;0.312;39.8;B ;4.82;6.480;0.40;10.93;2;Extra;55.81;44.22;79.23;Redondo;57.41;60.82;;21;In_natura
1762;77;60.0;4.8;10.6;36.591;60.99;17.394;6;28.99;10.9;38.3;0.285;66.9;A ;3.66;6.015;0.39;10.03;2;Extra;60.27;42.80;71.01;Pontiagudo;58.37;61.95;;21;In_natura
1763;77;75.0;7.3;10.8;49.124;65.50;19.142;6;25.52;12.8;112.1;0.114;81.3;AA;4.44;6.734;0.38;8.98;2;Jumbo;62.61;47.18;75.36;Padrão;72.58;70.20;;21;In_natura
1764;77;61.0;7.3;10.3;36.306;59.52;18.918;6;31.01;12.0;49.2;0.244;85.2;AA;4.08;5.776;0.36;9.47;1;Extra;57.90;44.37;76.63;Redondo;59.94;62.59;;21;In_natura
1765;77;64.7;2.5;10.5;40.747;62.98;17.030;6;26.32;11.4;44.0;0.259;33.2;B ;5.91;6.923;0.41;10.70;2;Extra;59.02;44.74;75.80;Padrão;62.04;63.95;;21;In_natura
1766;77;63.4;4.9;10.1;36.989;58.34;19.725;6;31.11;14.5;40.0;0.363;66.3;A ;3.42;6.686;0.39;10.55;2;Extra;62.32;44.80;71.89;Pontiagudo;65.67;66.36;;21;In_natura
1767;77;76.4;7.4;10.7;48.874;63.97;20.242;6;26.49;11.6;71.3;0.163;81.6;AA;1.77;7.284;0.37;9.53;2;Jumbo;63.72;47.77;74.97;Padrão;75.57;71.91;;21;In_natura
1768;77;65.7;6.0;10.6;38.674;58.86;19.667;6;29.93;11.4;109.2;0.104;74.8;AA;3.99;7.359;0.40;11.20;3;Extra;61.72;44.87;72.70;Padrão;65.23;66.05;;21;In_natura
1769;77;58.2;5.9;10.5;34.461;59.21;17.440;7;29.97;12.3;92.3;0.133;76.7;AA;5.05;6.299;0.39;10.82;2;Extra;55.86;43.99;78.75;Redondo;56.91;60.53;;21;In_natura
1770;77;60.3;3.0;10.4;35.476;58.83;19.293;6;32.00;11.3;51.0;0.222;45.5;B ;4.23;5.531;0.36;9.17;2;Extra;59.60;43.71;73.34;Padrão;60.01;62.84;;21;In_natura
1771;77;61.7;3.5;10.4;;;;6;;8.3;42.0;0.198;51.7;B ;3.38;6.139;0.39;9.95;2;Extra;57.87;44.71;77.26;Redondo;60.76;63.06;Sujo;21;In_natura
1772;77;60.5;3.8;10.5;38.199;63.14;16.000;6;26.45;11.4;44.0;0.259;56.1;B ;4.82;6.301;0.41;10.41;2;Extra;57.81;43.63;75.47;Padrão;58.01;61.45;;21;In_natura
1773;77;60.0;4.6;10.6;34.025;56.71;19.640;6;32.73;11.3;47.3;0.239;65.0;A ;4.88;6.335;0.37;10.56;1;Extra;56.13;44.21;78.76;Redondo;57.72;61.05;;21;In_natura
1774;77;68.4;7.0;10.8;43.578;63.71;18.673;7;27.30;11.9;41.2;0.289;81.2;AA;3.61;6.149;0.38;8.99;3;Jumbo;61.33;46.04;75.07;Padrão;67.97;67.55;;21;In_natura
1775;77;56.6;5.5;10.7;33.631;59.42;17.364;6;30.68;11.6;56.0;0.207;74.3;AA;4.37;5.605;0.38;9.90;2;Grande;55.62;43.65;78.48;Redondo;55.86;59.88;;21;In_natura
1776;77;62.2;6.9;10.5;37.735;60.67;18.345;6;29.49;11.9;81.3;0.146;82.4;AA;5.10;6.120;0.38;9.84;3;Extra;58.81;44.35;75.41;Padrão;60.83;63.22;;21;In_natura
1777;77;61.0;3.1;10.5;37.017;60.68;17.927;6;29.39;11.3;49.0;0.231;46.5;B ;4.89;6.056;0.38;9.93;2;Extra;57.84;44.13;76.30;Redondo;59.28;62.20;;21;In_natura
1778;77;55.9;5.6;9.9;33.061;59.14;17.137;6;30.66;13.3;49.3;0.270;75.3;AA;3.53;5.702;0.38;10.20;2;Grande;57.36;42.62;74.30;Padrão;55.12;59.67;;21;In_natura
1779;77;67.7;5.8;10.1;40.755;60.20;20.545;6;30.35;14.5;48.3;0.300;72.5;AA;3.98;6.400;0.41;9.45;2;Extra;57.58;46.88;81.42;Redondo;65.97;65.99;;21;In_natura
1780;77;56.5;3.1;10.2;34.031;60.23;16.875;6;29.87;11.4;44.0;0.259;49.6;B ;2.94;5.594;0.39;9.90;2;Grande;56.10;48.43;86.33;Redondo;68.23;67.03;;21;In_natura
1781;77;63.4;5.6;10.0;;;;6;;14.0;44.3;0.316;72.5;AA;3.53;6.166;0.38;9.73;3;Extra;58.80;45.11;76.72;Redondo;62.76;64.33;;21;In_natura
1782;77;57.8;5.0;10.1;35.589;61.57;15.913;7;27.53;13.6;43.7;0.311;69.7;A ;5.86;6.298;0.42;10.90;2;Grande;56.61;43.34;76.56;Redondo;56.11;60.17;;21;In_natura
1783;77;57.2;5.4;10.6;33.046;57.77;17.949;6;31.38;14.3;47.3;0.302;73.3;AA;4.48;6.205;0.39;10.85;2;Grande;57.73;43.43;75.23;Padrão;57.44;61.11;;21;In_natura
1784;77;61.8;8.9;9.3;37.451;60.60;19.259;6;31.16;15.9;43.7;0.364;93.9;AA;1.27;5.090;0.33;8.24;2;Extra;57.67;45.98;79.73;Redondo;63.76;64.75;;21;In_natura
1785;77;57.9;6.5;10.3;35.149;60.71;16.298;6;28.15;12.5;;;81.1;AA;3.76;6.453;0.41;11.15;2;Grande;58.53;43.15;73.72;Padrão;57.54;61.27;;21;In_natura
1786;77;;;;;;;;;;;;;;;;;;;;57.90;46.14;79.69;Redondo;64.42;65.16;;21;In_natura
1787;77;64.6;2.8;10.4;38.550;59.67;19.313;7;29.90;11.3;49.0;0.231;39.0;B ;4.26;6.737;0.42;10.43;2;Extra;61.48;44.03;71.62;Pontiagudo;62.75;64.62;;21;In_natura
1788;77;69.3;;;;;;;;;;;;;3.87;6.258;0.40;9.03;4;Jumbo;60.59;46.62;76.94;Redondo;68.71;67.88;;21;In_natura
1789;77;63.1;3.6;10.0;36.925;58.52;20.063;6;31.80;14.9;42.0;0.355;52.1;B ;1.49;6.112;0.38;9.69;2;Extra;59.20;45.59;77.01;Redondo;64.43;65.33;;21;In_natura
1790;77;63.3;3.8;9.9;36.236;57.24;20.988;6;33.16;14.3;41.3;0.346;54.6;B ;4.79;6.076;0.40;9.60;3;Extra;58.88;44.34;75.31;Padrão;60.88;63.26;;21;In_natura
