N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
13;53;58.5;8.9;7.8;33.043;56.48;18.598;6;31.79;16.9;;;94.6;AA;4.27;6.859;0.40;11.72;1;EXTRA;58.49;45.58;77.93;Redondo;63.63;64.79;;0;Processamento
14;53;61.6;10.0;7.9;38.033;61.74;16.750;7;27.19;18.0;41.3;0.436;99.1;AA;5.52;6.817;0.42;11.07;1;EXTRA;58.94;44.34;75.23;Padrão;60.94;63.30;;0;Processamento
15;53;62.3;9.3;7.8;38.518;61.83;16.551;6;26.57;17.4;41.7;0.417;95.7;AA;4.83;7.231;0.41;11.61;1;EXTRA;57.36;44.47;77.53;Redondo;59.63;62.34;casca_suja;0;Processamento
16;53;67.1;7.9;7.9;40.089;59.75;19.194;6;28.61;18.4;41.3;0.446;87.2;AA;4.03;7.817;0.40;11.65;2;EXTRA;60.88;46.19;75.87;Padrão;67.87;67.45;casca_suja;0;Processamento
17;53;66.3;8.8;8.2;39.200;59.13;19.960;6;30.11;19.8;43.7;0.453;92.3;AA;5.33;7.140;0.40;10.77;1;EXTRA;61.43;46.92;76.38;Redondo;70.49;68.95;;0;Processamento
18;53;66.7;8.3;8.2;43.722;65.55;16.620;6;24.92;18.5;42.0;0.440;89.5;AA;3.07;6.358;0.38;9.53;1;EXTRA;58.42;45.18;77.34;Redondo;62.53;64.15;;0;Processamento
19;53;62.9;8.1;8.0;39.777;63.24;16.012;7;25.46;17.3;46.3;0.374;89.4;AA;5.14;7.111;0.40;11.31;2;EXTRA;62.92;47.15;74.94;Padrão;72.85;70.38;;0;Processamento
20;53;61.0;9.0;8.1;34.817;57.08;19.496;7;31.96;17.9;;;94.5;AA;5.56;6.687;0.40;10.96;1;EXTRA;59.10;44.67;75.58;Padrão;61.95;63.90;;0;Processamento
21;53;65.5;8.9;7.6;38.876;59.35;19.038;7;29.07;17.9;42.3;0.423;93.0;AA;5.30;7.586;0.42;11.58;2;EXTRA;58.70;46.49;79.20;Redondo;66.23;66.28;;0;Processamento
22;53;66.4;8.8;7.7;44.249;66.64;15.970;6;24.05;17.6;44.0;0.400;92.3;AA;4.98;6.181;0.42;9.31;2;EXTRA;57.78;42.68;73.87;Padrão;55.66;60.06;;0;Processamento
23;53;69.8;7.9;7.5;45.793;65.61;17.742;7;25.42;17.8;43.7;0.407;86.5;AA;5.25;6.265;0.40;8.98;3;JUMBO;60.12;46.24;76.91;Redondo;67.16;66.97;;0;Processamento
